# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q2054880	676(en/Text)	The Battle of Life
Q205882	18947(en/Text)	Prose Edda
Q206400	2243(en/Text)	The Merchant of Venice
Q2068990	372(en/Text)	Prince Otto
Q20820648	493(en/Text)	Falk
Q2092894	13159(en/Text)	Illusions perdues
Q2104534	1212(en/Text)	Love and Freindship
Q21065374	27878(fr/Text)	Mémoires de Monsieur d'Artagnan
Q210784	2638(en/Text)	The Idiot
Q21127208	1745(en/Text)	The Poetical Works of John Milton
Q2112787	9260(de/Text)	Prometheus
Q2119279	301(en/Text)	The Ballad of Reading Gaol
Q2124771	4558(en/Text)	The Luck of Barry Lyndon
Q2126429	12065(fr/Text)	Three Tales
Q2156104	7025(en/Text)	Rob Roy
Q215894	19942(en/Text)	Candide
Q216578	6099(fr/Text)	Les Fleurs du mal
Q217352	43(en/Text)	Strange Case of Dr Jekyll and Mr Hyde
Q219457	18857(en/Text)	A Journey to the Centre of the Earth
Q219552	1400(en/Text)	Great Expectations
Q21999654	1092(en/Text)	Descriptio Cambriae
Q220002	4280(en/Text)	Critique of Pure Reason
Q220331	12(en/Text)	Through the Looking-Glass
Q221765	11556(en/Text)	Facing the Flag
Q223131	244(en/Text)	A Study in Scarlet
Q223688	2197(en/Text)	The Gambler
Q223880	158(en/Text)	Emma
Q2277224	27690(en/Text)	Nobody's Girl
Q2277829	589(en/Text)	Catriona
Q2293012	10859(en/Text)	Paul et Virginie
Q2316161	56645(fr/Text)	The poet assassinated
Q231949	7370(en/Text)	Two Treatises of Government
Q2323961	18247(en/Text)	The Last Man
Q2324782	383(en/Text)	She Stoops to Conquer
Q23308023	14377(en/Text)	The Queen-Like Closet
Q2343169	143(en/Text)	The Mayor of Casterbridge
Q2343322	73425(en/Text)	The Guermantes Way
Q2348040	63404(en/Text)	La Galatea
Q2348190	1450(en/Text)	Pollyanna
Q2362409	211(en/Text)	The Aspern Papers
Q2362527	917(en/Text)	Barnaby Rudge
Q2362563	155(en/Text)	The Moonstone
Q2385639	11199(fr/Text)	Clair de lune
Q238652	1880(en/Text)	The Pathfinder, or The Inland Sea
Q2404359	720(en/Text)	Almayer's Folly
Q240617	1237(en/Text)	Père Goriot
Q2409203	17831(fr/Text)	La Débâcle
Q2409540	13695(en/Text)	Une Page d'amour
